sep=,
Title,Artist,Type,Confidence_Score,Source_File
"STARGAZING","Travis Scott",Recommended,4.59,"WhatsApp_Image_2026-04-29_at_12.39.32_1.jpeg"
"Father Stretch My Hands Pt.1","Kanye West",Recommended,4.484,"WhatsApp_Image_2026-04-29_at_12.39.32_1.jpeg"
"La rencontre - Bande origin...","Francis Lai",Recommended,4.494,"WhatsApp_Image_2026-04-29_at_12.39.32_1.jpeg"
"No Pole","Don Toliver",Recommended,4.45,"WhatsApp_Image_2026-04-29_at_12.39.32_2.jpeg"
"Mask Off","E Future",Recommended,4.541,"WhatsApp_Image_2026-04-29_at_12.39.32_2.jpeg"
"Can't Tell Me Nothing","Kanye West",Recommended,4.557,"WhatsApp_Image_2026-04-29_at_12.39.32_2.jpeg"
"Touch The Sky","Kanye West, Lupe Fiasco",Recommended,4.288,"WhatsApp_Image_2026-04-29_at_12.39.32.jpeg"
"All The Stars (with SZA) - Fr....","Kendrick Lamar, SZA",Recommended,4.266,"WhatsApp_Image_2026-04-29_at_12.39.32.jpeg"
"Gold Digger","Kanye West, Jamie Foxx",Recommended,4.466,"WhatsApp_Image_2026-04-29_at_12.39.33_1.jpeg"
"L'arrivée de Maria - Bande o...","Francis Lai, Christian Gaubert",Recommended,4.334,"WhatsApp_Image_2026-04-29_at_12.39.33_1.jpeg"
"Le jardin d'hiver - Bande ori..","Francis Lai, Christian Gaubert",Recommended,4.5,"WhatsApp_Image_2026-04-29_at_12.39.33.jpeg"
"CAN'T SAY","Travis Scott",Recommended,4.506,"WhatsApp_Image_2026-04-29_at_12.39.33.jpeg"
"Space Cadet (feat. Gunna)","Metro Boomin, Gunna",Recommended,4.299,"WhatsApp_Image_2026-04-29_at_12.39.33.jpeg"
